,category,company
660,plus_five,FCF
661,minus_five_ten,FDC
662,minus_five_ten,FFBC
663,minus_five,FFIN
664,plus_five,FHB
665,plus_five,FHN
666,minus_five,FR
667,plus_five,FIBK
668,minus_five_ten,FRME
669,minus_five_ten,FMBI
670,plus_ten,FSLR
671,plus_five,FCFS
672,plus_five,FE
673,minus_five_ten,FISV
674,plus_five,FIT
675,plus_ten,FIVE
676,plus_five_ten,FPRX
677,plus_five,FBC
678,plus_five,FLT
679,minus_five,FLEX
680,minus_five_ten,FLIR
681,minus_five_ten,FLO
682,plus_five,FLS
683,minus_five,FLR
684,minus_five,FMC
685,minus_ten,FTI
686,minus_five,FL
687,minus_five,F
688,minus_ten,FTNT
689,plus_five,FTV
690,minus_five,FIG
691,plus_five,FBHS
692,minus_five,FET
693,plus_five,FWRD
694,minus_five_ten,FOSL
695,minus_five,FCPT
696,minus_five,FI
697,plus_ten,FELE
698,minus_ten,BEN
699,minus_five,FSP
700,minus_ten,FCX
701,plus_ten,FDP
702,plus_five,FTR
703,minus_five,FCN
704,minus_five_ten,FULT
705,plus_five,GK
706,minus_ten,GIII
707,minus_five,GME
708,plus_five,GLPI
709,plus_five,GPS
710,plus_five,GRMN
711,plus_ten,IT
712,plus_five,GATX
713,plus_five,GCP
714,plus_five,GNRC
715,minus_five_ten,GD
716,minus_five,GE
717,plus_five,GGP
718,plus_five_ten,GIS
719,minus_five,GM
720,plus_five,GCO
721,plus_five,GWR
722,minus_five,GEL
723,plus_five,G
724,minus_five,GNTX
725,minus_five,THRM
726,plus_five,GPC
727,plus_five,GNW
728,minus_five,GEO
729,plus_five,ROCK
730,plus_ten,GIMO
731,plus_five,GILD
732,minus_five,GBCI
733,plus_five,GSK
734,plus_five,GNL
735,minus_five_ten,GPN
736,plus_ten,GMED
737,plus_five,GDDY
738,plus_five_ten,GS
739,plus_five,GT
740,minus_ten,GPRO
741,plus_five,GOV
742,plus_five,GGG
743,plus_five,GHC
744,minus_ten,GPT
745,minus_ten,GTE
746,plus_five_ten,LOPE
747,plus_five,GVA
748,minus_five,GPK
749,plus_five,GXP
750,plus_five,GWB
751,minus_five,GDOT
752,minus_five,GBX
753,minus_ten,GEF
754,plus_five,GPI
755,plus_ten,GRPN
756,plus_ten,GRUB
757,plus_five,GWRE
758,plus_five,GPOR
759,plus_five,HRB
760,minus_ten,HAE
761,minus_five,HAIN
762,minus_ten,HAL
763,minus_five,HALO
764,minus_ten,HYH
765,minus_ten,HBHC
766,minus_five_ten,HBI
767,minus_five,THG
768,minus_five,HOG
769,minus_five_ten,HAR
770,plus_five_ten,HRS
771,plus_five,HSC
772,minus_five_ten,HIG
773,minus_five_ten,HAS
774,minus_five,HE
775,minus_five,HA
776,plus_five,FUL
777,plus_five,HCA
778,plus_five,HCP
779,minus_five,HDS
780,plus_five,HW
781,plus_five,HR
782,minus_five_ten,HCSG
783,plus_five,HTA
784,plus_five,HQY
785,plus_five_ten,HLS
786,plus_five,HTLD
787,plus_ten,HTLF
788,plus_five,HL
789,minus_five_ten,HEI
790,minus_ten,HLX
791,minus_five,HP
792,minus_five,HSIC
793,minus_five,HLF
794,plus_five,HRI
795,plus_five,MLHR
796,plus_five,HSY
797,plus_five,HTZ
798,plus_five,HES
799,minus_five,HPE
800,plus_five,HXL
801,minus_five_ten,HF
802,minus_five,HCLP
803,plus_five,HIW
804,plus_ten,HRC
805,plus_five,HI
806,plus_five,HTH
807,minus_five_ten,HLT
808,plus_five,HTHIY
809,minus_five,HMSY
810,minus_ten,HNI
811,minus_five,HEP
812,plus_five,HFC
813,plus_five,HOLX
814,minus_five_ten,HOMB
815,plus_five,HD
816,minus_five,HON
817,plus_five_ten,HOPE
818,plus_five_ten,HMN
819,plus_ten,HZNP
820,plus_five,HRL
821,plus_five,HPT
822,minus_five_ten,HST
823,plus_ten,HMHC
824,plus_five,HLI
825,plus_five_ten,HHC
826,plus_five,HPQ
827,plus_five,HRG
828,plus_five,HSNI
829,plus_ten,HUBG
830,plus_five,HUBB
831,plus_five,HUBS
832,minus_five,HPP
833,plus_five,HUM
834,plus_five_ten,HBAN
835,plus_five,HII
836,plus_five,HUN
837,plus_five_ten,HURN
838,plus_five,H
839,plus_five,IBKC
840,minus_ten,IEP
841,plus_five,ICUI
842,minus_five,IDA
843,plus_five,IEX
844,plus_five,IDXX
845,plus_five,INFO
846,plus_five,IIVI
847,plus_five,ITW
848,plus_five,ILMN
849,minus_five,IMAX
850,minus_ten,IMPV
851,plus_five,INCR
852,minus_five,INCY
853,minus_five,INDB
854,minus_ten,IBTX
855,minus_ten,INFN
856,plus_five,ING
857,plus_five,IR
858,minus_ten,NGVT
859,plus_five,IM
860,minus_five,INGR
861,minus_five,IOSP
862,plus_ten,INVA
863,plus_five,INGN
864,minus_five_ten,INOV
865,minus_ten,IPHI
866,plus_five,NSIT
867,plus_ten,NSP
868,plus_five,IBP
869,plus_five,PODD
870,plus_five,IART
871,plus_five,IDTI
872,plus_five,INTC
873,plus_five,IBKR
874,minus_ten,ICPT
875,plus_five,ICE
876,plus_ten,IDCC
877,minus_five,TILE
878,plus_five,IBOC
879,minus_five,IBM
880,plus_five_ten,IFF
881,plus_five,IGT
882,minus_five_ten,IP
883,plus_five,IPG
884,minus_five,ISIL
885,minus_ten,XON
886,plus_five,INTU
887,plus_five,ISRG
888,minus_five,IVZ
889,minus_five,IVR
890,plus_five,ISBC
891,plus_five,IONS
892,minus_five,IPGP
893,plus_five_ten,IRBT
894,plus_five,IRM
895,minus_five_ten,IRWD
896,plus_five,ITRI
897,plus_five,ITT
898,minus_five_ten,XXIA
899,plus_five,JJSF
900,minus_five_ten,JBHT
901,minus_ten,JCP
902,plus_five,SJM
903,plus_five,JCOM
904,plus_five,JBL
905,plus_five,JKHY
906,plus_five,JACK
907,minus_five_ten,JEC
